# doc 61 sec 5b -- batch 2: events 11-393 of the d59k scan set (393-event
# FC-cut set), scanned 2026-07-26 by 10 Claude sub-agents from the same
# evidence images the owner sees on :5011.  UNVALIDATED.
# verdict is STM|nu ONLY (a non-stopping-muon stays a neutrino candidate);
# quality = clean|weak|cosmic-like|junk|unclear qualifies it (doc 61 sec 1).
# t_us/len_cm/auto_label/flash_gid are joined from nusel-evt<ID>.tsv, not typed.
event	main_id	flash_gid	t_us	len_cm	auto_label	verdict	quality	conf	reason
72586	17	3	1.175	301.6	STM	nu	cosmic-like	high	the STM tag is wrong: dQ/dx is flat 40-60 ke/cm right down to rr=0 with no Bragg, and the claimed stopping end is the CATHODE (x=-2.3 cm, 0 TPC1 points in the fit) so this 302 cm track is simply cut there; the other end exits the bottom wall y=-199
72828	7	0	1.243	11.8	STM	nu	unclear	low	12 cm object touching the anode x=-201 in the bottom corner; dQ/dx is 160-256 ke/cm over the whole 10 cm, 2-4x ABOVE the muon expectation, so this is not a muon at all - the STM accept off 17 fit points (r1=0.54) looks wrong. Too short to read topology
73070	5	8	1.694	1.6	nu-candidate	nu	junk	high	12 drawn points in one 1.8 cm dot at (-85,83,251), fully contained and >80 cm from every wall; no fit (no steiner_pc); the nearby diagonal is grey context, not part of the bundle
166804	9	1000005	1.658	27.8	nu-candidate	nu	weak	med	28 cm track exiting the downstream wall z=500 (last 4 cm graze along it); dQ/dx is flat 50-60 ke/cm from rr=3 out to 33 with only a 1.5 cm 240 ke/cm blob at the interior end (63,77,478) - a 4x MIP spike, not a muon Bragg, so not STM; the stub is the only vertex evidence
167112	16	2	1.250	118.9	nu-candidate	nu	unclear	low	enters the top wall y=199.6 at (-142,200,255) and terminates 40 cm later in a 15 cm diffuse spray at (-112,172,226); dQ/dx spikes to 200 ke/cm at the trajectory tip but falls BELOW the MIP line (8-45 ke/cm at rr=5-16) instead of following the muon curve, so a stopping-muon+Michel and a hadronic/EM interaction are indistinguishable here - owner should look
167200	16	1000009	1.280	58.1	STM	STM	clean	high	crosses the upstream wall at (96,-48,z=-0.5, outside the detector box) and stops 58 cm later at (114,-34,41) with a slight end curl; dQ/dx rides the muon curve from 165 ke/cm at rr=0 down to 55 ke/cm at rr=50 - textbook
167398	3	8	1.198	180.6	STM	STM	clean	high	enters the anode plane at (-201,-59,282) and stops at (-103,-134,411) after 181 cm; textbook Bragg to 195 ke/cm on the green curve at rr=0
168388	6	5	1.453	12.7	STM	nu	unclear	low	12 cm stub from the upstream wall (-184,28,1.3) to (-177,32,11); all 22 fit points sit at 130-275 ke/cm, 2-2.5x ABOVE the muon expectation over the whole length and never approach it, so this is not a muon - the STM accept looks like the same short-stub-at-a-wall failure mode as evt72828
168614	5	1000004	1.099	173.7	nu-candidate	nu	cosmic-like	med	enters the top wall y=200 at (105,200,348), runs 174 cm down to (107,70,232) where it just stops; dQ/dx is flat 40-60 ke/cm from rr=3 outward with only a 2 cm 170 ke/cm spike, no muon Bragg, so the interior end is truncated. Track is at essentially constant drift x (dx=4.4 cm over 174 cm) and the points smear +/-10 cm in y-z - isochronous reconstruction, badly measured
169356	16	1000001	1.689	162.0	nu-candidate	nu	unclear	low	dQ/dx is a reconstruction pathology - a smooth parabola diving to MINUS 320 ke/cm around rr=25; away from it the profile is flat MIP with no Bragg. Topology is a top-wall entry at (70,199,251) plus a fork at (150,146,180) with two arms reaching x=183 and a detached vertical clump at x=140 - not one clean object
169598	2	3	0.265	251.8	TGM	nu	cosmic-like	high	straight 252 cm through-goer from the anode plane (-201,-2,356) to the top wall (-70,200,430) - crosses two boundaries, nothing stops. This is a TGM that leaked into a sample the doc-59 cut was supposed to have removed (auto_label TGM, no STM fit)
169598	18	1000004	1.514	85.8	nu-candidate	STM	unclear	low	textbook Bragg to 190 ke/cm riding the green curve at the interior end (86,160,190), so something stopped there. The entry is the problem: the only boundary contact is the top wall y=200 at (158,199.5,186) where the bundle runs ~10 cm ALONG the wall, and the ctx view shows an un-merged grey cosmic passing right through (155-161,186-196) - so that entry piece may not belong to this particle. STM if the entry is real, nu if it is a mis-merge; I lean STM but the owner should decide
169736	15	1000007	1.926	70.4	STM	STM	clean	med	cathode crosser entering the upstream wall at (12,29,1.3) and stopping 70 cm later at (-18,19.5,64) with a short end hook; dQ/dx follows the muon curve to a 108 ke/cm peak displaced 9 cm from the fitted end (res_L=9.1). The slope break at x=0 in X-Y and the dQ/dx dip to 28 ke/cm at rr=29-35 are both the cathode join, not physics
169758	6	1000003	1.379	68.9	nu-candidate	nu	cosmic-like	high	dQ/dx is flat 50-72 ke/cm at rr=0 where the muon curve wants 165, no Bragg; and that rr=0 end is the CATHODE (x=2.4 cm, all 111 fit points in TPC1 and none in TPC0), so the 69 cm track is simply cut there. The other end exits the downstream wall z=500
169774	2	9	0.969	78.4	nu-candidate	nu	weak	low	a 13 cm hook touching the bottom wall at (-78,-199.5,191) and curling up to (-70,-190,194); dQ/dx is 30-80 ke/cm, at or below the MIP line and far below the muon expectation, so no Bragg and no stop. Only 22 fit points and the drawn extent is 13 cm against the skeleton's 78 cm - too little to read
169890	21	7	1.635	148.3	nu-candidate	nu	weak	med	smooth 148 cm track running almost purely +z (dz=146, dy=17) from (-60,-90,352) out through the downstream wall z=498; dQ/dx is flat 40-60 ke/cm to rr=0, no Bragg, so nothing stopped. Beam-aligned and no vertex structure at the upstream end - a plausible nu muon but featureless. Points smear +/-5 cm in y because dy is small
170792	10	0	1.662	71.7	nu-candidate	nu	unclear	low	not one physical object: a 40 cm diagonal track plus a SOLID FILLED block (z=112-125, y=163-192) at essentially constant drift x=-140 that reaches the top wall y=199.7 - the isochronous-degeneracy artifact. dQ/dx sits 90-175 ke/cm over the whole 46 cm and RISES with rr, the opposite of a stopping muon
170808	14	1000003	1.008	112.7	nu-candidate	nu	clean	med	3-prong vertex at about (175,44,388): a 20 cm arm to (168,36,373), a 45 cm arm crossing the anode plane at (201,9,374) and a 60 cm arm ending at (190,70,440); dQ/dx at rr=0 is only 55-92 ke/cm so there is no Bragg and no stopping muon. Also note the fit's dQ/dx dives NEGATIVE (-35 ke/cm) over rr=62-72 and two dense filled blobs sit on the prongs
170924	16	1000007	0.850	34.2	nu-candidate	nu	clean	med	kink at about (70,-182,74): a 24 cm arm whose dQ/dx falls smoothly from 250 to 125 ke/cm, a factor 2-2.3 ABOVE the muon curve the whole way (proton-like, not a muon Bragg), plus a 19 cm flat-MIP arm reaching the bottom wall y=-199
170984	9	1000011	1.826	1.2	nu-candidate	nu	junk	high	13 drawn points in one 0.9 cm dot at (180,-63,61), fully contained, no fit (no steiner_pc); the diagonal track crossing the frame is grey context
171050	4	7	1.888	134.1	STM	STM	clean	high	enters the upstream wall at (-145,113,z=0.8, on the detector face) and stops 134 cm later at (-150,132,102) deep inside; textbook Bragg to 228 ke/cm riding the green curve. Track is at near-constant drift x (dx=6.5 cm over 134 cm) so the y-z point cloud is smeared into a big diamond, but the trajectory and the Bragg are clean
171050	10	1000017	2.090	3.7	nu-candidate	nu	junk	high	32 drawn points in a 2 cm blob sitting on the cathode at (2,-115,250), fully contained; no track, no fit (fc says contained so the STM tagger never fit it)
171116	15	1000004	0.638	74.0	STM	STM	weak	low	a 16 cm segment crossing the anode plane at (201.4,100,67) with dQ/dx following the muon curve up to 212 ke/cm at the interior end (189,90,65) - entry plus Bragg, so STM by the criteria, but only 26 fit points and dz=2.4 cm over 16 cm is the prolonged-W geometry, and the drawn extent is 16 cm against the skeleton's 74 cm length. Low confidence, worth a re-look
171892	23	12	0.614	13.8	nu-candidate	nu	junk	high	19 drawn points in a single 1.2 cm dot at (-13,56,387), fully contained, no fit (no steiner_pc); the skeleton's 13.8 cm / 38 pts is the pre-un-merge blob
172090	10	1000003	1.048	288.1	STM	STM	clean	high	enters the top wall y=200 at (35,200,276) and runs 288 cm down to (33,-73,347), 126 cm clear of the bottom wall; dQ/dx rides the green curve from 170 ke/cm at rr=0 out to MIP at rr=50 - a real Bragg. Near-constant drift x (dx=12 cm over 288 cm) puts an isochronous smear around y=0-110 but the trajectory is clean
172266	16	0	0.808	221.2	nu-candidate	nu	clean	med	221 cm prong crossing the anode plane at (-201,90,122); at the interior end (-24,132,68) there is a 5 cm stub spiking to 273 ke/cm - 1.6x the muon curve at rr=0 and already BELOW it by rr=5, so proton-like rather than a muon Bragg - plus a 10 cm hook and a charge fan. Reads as a vertex with a proton and an anode-exiting muon, and the tagger's dQ/dx rejection (r1=1.15-1.49, data above expectation) agrees
172552	3	3	0.716	92.4	STM	STM	clean	high	enters the upstream wall at (-148,-33,z=0.8, on the detector face) and stops 92 cm later at (-145,-2,88) with a short end hook; textbook Bragg, 215 ke/cm at rr=0 hugging the green curve down to MIP at rr=25. Isochronous smear from dx=5.3 cm over 92 cm, trajectory unaffected
172596	15	8	1.359	59.2	STM	nu	unclear	low	dQ/dx is flat MIP 47-60 ke/cm over the last 12 cm down to rr=0, which by the flat-to-rr=0 rule means nothing stopped at the fitted end, and the only peak sits 14 cm inward reaching just 130 ke/cm against the 165 benchmark - so I disagree with the STM accept (its weakest, ks1=0.106 res_L=13.8). Alternative reading the owner should check: the trajectory changes direction at exactly that peak (-29,178,14) and the 12 cm beyond it could be a MIP Michel, which would make it a real STM off the upstream wall z=1.9
172656	10	5	0.697	263.9	nu-candidate	nu	cosmic-like	low	hard call, please re-check. 264 cm cathode-crossing track entering the top wall at (80,199,79) and ending at (-104,58,201), 141 cm clear of the bottom wall. dQ/dx spikes to 278 ke/cm in the last 1-2 cm but is already BELOW the muon curve by rr=5 and at MIP by rr=15 - a stopping muon has to spend tens of cm in the 70-100 ke/cm regime and this one does not, so I read the end blob as a compact deposit (proton/delta) rather than a muon Bragg and call it not-STM
172788	20	12	0.787	50.3	nu-candidate	nu	junk	high	11 drawn points in a single 1 cm dot at (-44,171,257), fully contained, no fit (fc says contained so the STM tagger never fit it); the skeleton's 50 cm / 50 pts is the pre-un-merge blob
172788	26	1000000	1.375	340.8	STM	STM	clean	high	crosses the anode plane at (201,100,461) and runs 341 cm down to (161,-147,328), 52 cm clear of the bottom wall and 40 cm off the anode; Bragg to 193 ke/cm riding the green curve, and a dense charge fan sits at the stopping end (Michel/shower candidate)
173146	15	1	0.775	182.3	nu-candidate	nu	clean	high	kink at (-128,-76,243): a 30 cm arm whose dQ/dx runs 240 ke/cm at its tip and stays about 2x ABOVE the muon curve for the whole 30 cm (proton-like Bragg, not a muon one) plus a 138 cm MIP prong crossing the anode plane at (-201,-106,351). Caveat: the short arm is at near-constant z (243 to 248 over 28 cm), the prolonged-W geometry, so its charge scale is the weakest part of this call
173256	14	14	1.274	1.1	nu-candidate	nu	junk	high	14 drawn points in one 0.9 cm dot at (-30,-145,165), fully contained with nothing else in the frame, no fit (no steiner_pc)
173498	6	6	0.671	182.5	nu-candidate	nu	cosmic-like	high	through-going: one arm crosses the anode plane at (-201,151,366), the other exits the downstream wall at (-146,145,501), with a kink at (-175,142,340); dQ/dx is flat 40-60 ke/cm to rr=0, no Bragg. tgm=0, so TGM missed this two-boundary crosser. Near-constant y (dy=12 cm over 182 cm) with a +/-3 cm smear, so y is poorly measured
174224	20	0	1.047	323.9	nu-candidate	nu	clean	high	vertex at (-101,-2,190) with a 10 cm stub at 3.1 MIP - dQ/dx 262 ke/cm at the tip, above the muon curve and merging into MIP by rr=20 - plus a 324 cm MIP prong running +z straight out through the downstream wall z=501. Same shape as the reference evt51051
174422	13	5	0.679	385.4	STM	STM	clean	high	385 cm cathode crosser entering the upstream wall at (-83,-73,z=1.1) and stopping at (75,-130,349), 126 cm off the anode and 69 cm above the bottom wall, with a small end hook; Bragg to 170 ke/cm hugging the green curve down to MIP at rr=30. The slope break at x=0 is the cathode join, not a kink
174488	3	6	1.450	16.4	STM	nu	unclear	med	16 cm stub whose dQ/dx sits at 150-250 ke/cm over its WHOLE length (2.5-4x MIP, far above the muon curve) and rises only 1.7x from rr=15 to rr=1 (a muon rises 2.5x) = flat-and-high proton-like profile, not a muon Bragg; touches the upstream wall z=0.8; disagree with the STM tag
174576	5	2	1.755	115.4	nu-candidate	nu	cosmic-like	med	reaches the bottom wall y=-199 at z=28, sharp ~90 deg kink at (-195,-185,12), and the interior end at (-178,-104,68) has dQ/dx 25-45 ke/cm at rr<10 (BELOW MIP, no Bragg) = truncated, so nothing stopped
174642	9	3	1.755	350.3	STM	STM	clean	high	enters the upstream wall z=2 at (-12,187), runs 337 cm and stops at (-96,129,337) with a textbook Bragg to 168 ke/cm at rr=0 (ks1=0.030)
174928	5	14	1.358	48.0	TGM	nu	junk	high	only 7 drawn points in a 1 cm blob at (-98,197,111) just inside the top wall; no track to judge (tagger called it TGM so the STM fit was skipped)
174928	9	1000004	1.100	171.8	nu-candidate	nu	cosmic-like	med	enters the anode x=201 at (201,141,248), 90 cm prong to a kink at (158,112,176) with a ~25 cm curled second arm; dQ/dx flat 50-60 with 20-40 ke/cm points at rr<10 and no coherent Bragg, so nothing stopped at the kink
175104	7	1000005	1.594	1.6	nu-candidate	nu	junk	high	14 drawn points in a 1 cm blob at (70,185,183), fully interior, no steiner pc hence no dQ/dx; nothing to judge
175428	17	9	0.623	121.2	STM	nu	cosmic-like	low	HARD: 42 cm near-vertical track entering the top wall y=200 at z=456, interior end (-38,180,492); dQ/dx only creeps 55->80 ke/cm and the last 3 cm FALL to 43-48 (below MIP) with no 165 ke/cm peak, and the STM tag needed the off=3 fit variant to pass, so I read the end as truncated; also the skeleton claims 121 cm while only ~42 cm is drawn
175808	18	2	1.574	235.3	nu-candidate	nu	cosmic-like	med	enters the anode x=-201 at (-201,-36,404) and runs 135 cm straight to (-168,-80,281); dQ/dx is flat 45-55 ke/cm from rr=2 to rr=135 with only a single 300 ke/cm point at rr<1 = endpoint charge blob, not a Bragg profile
175896	17	8	0.521	103.4	nu-candidate	nu	unclear	med	the dQ/dx fit returns NEGATIVE values (down to -250 ke/cm) over rr=5-25 and rr=60-80, i.e. unusable fit pathology; track crosses the downstream wall z=500.8 and carries several transverse charge sprays
176022	9	1000002	1.304	254.6	STM	STM	clean	high	265 cm track entering the upstream wall z=1.4 at (36,-2) and stopping at (185,23,206); dQ/dx tracks the green curve up to 170 ke/cm at rr=0 (ks1=0.041)
176160	10	1000009	0.362	126.2	STM	STM	clean	high	enters the top wall y=200 at (72,z=210), runs 124 cm and stops at (138,140,300) with a 5 cm hook (Michel candidate) and a clean Bragg to 145-185 ke/cm at rr<5 (ks1=0.037)
277276	8	2	1.953	139.3	nu-candidate	nu	clean	med	the rr<16 cm end sits at 140-290 ke/cm (2.5-5x MIP, far ABOVE the muon curve) = proton-like stub, matching the fit's own left dQ/dx=3.11 MIP over 14.8 cm; the long 135 cm prong is flat MIP and reaches the bottom wall y=-198 at z=442, so stub+prong reads as a vertex, not a muon Bragg
277958	13	1000008	0.964	34.2	STM	nu	unclear	med	inverted profile: dQ/dx peaks at 110-143 ke/cm at rr=8-11 and COLLAPSES to 30-57 ke/cm over the last 6 cm, so nothing stopped at rr=0; 30 cm S-curved track crossing the upstream wall z=0.8 at (33,-89); the STM tag came from the short-track peak-5 fit variant
278640	17	3	0.639	130.3	STM	STM	clean	high	enters the upstream wall z=2.2 at (9,-73), cathode-crosses at x=0 and stops at (-74,-80,102) with a textbook Bragg to 200 ke/cm at rr<1 (ks1=0.035); the mild slope change at x=0 is the cathode join, not a kink
278662	1	3	0.678	269.0	STM	nu	cosmic-like	med	disagree with the STM tag: dQ/dx is flat 45-60 ke/cm from rr=2 out to rr=250 and only 1-2 points at rr<2 rise (148k), i.e. an endpoint blob not a Bragg profile, and it only passed on the com=15 eval variant; the track exits the bottom wall y=-199.7 at z=307 and its other end just stops at (-172,-83,100)
278684	10	1000007	1.307	171.1	nu-candidate	nu	cosmic-like	high	enters the upstream wall z=-0.1 at (23,2) and runs 171 cm straight to (151,91,54) with dQ/dx flat 50-60 ke/cm right down to rr=0 (no Bragg, all 8 eval variants fail), so the far end is truncated; two detached red fragments sit near z=20-27
278794	7	1000000	0.695	203.1	STM	STM	clean	high	enters the anode x=201.4 at (201,-25,43), runs 198 cm and stops at (64,-124,131) with a clean Bragg to 175-230 ke/cm (ks1=0.018); the dQ/dx curve goes pathological (negative) only in the last 40 cm near the anode end, which does not affect the stopping end
279080	2	9	0.579	1.0	nu-candidate	nu	junk	high	10 drawn points in a 1 cm blob at (-163,41,478), fully interior, no steiner pc so no dQ/dx; nothing to judge
279445	19	4	0.608	144.1	nu-candidate	nu	clean	med	a 6 cm stub at the (-98,-94,290) end sits at 140-155 ke/cm (2.2-2.7x MIP, above the muon curve) and then drops discontinuously to 25-50 ke/cm by rr=8 (not a monotonic Bragg), the fit's own leftover is 13 cm at 2.02 MIP, and that end also carries a ~7 cm second prong; the long 144 cm prong exits the anode x=-201
279951	14	12	1.827	0.9	nu-candidate	nu	junk	high	10 drawn points in a 1 cm blob at (-98,194,113) just inside the FV top face, no steiner pc so no dQ/dx; nothing to judge
280092	6	1000006	1.551	49.2	STM	nu	clean	med	49 cm V with apex at (130,-189,40): dQ/dx is elevated to 80-151 ke/cm AT the apex while both ~25 cm arms sit at 40-70 ke/cm (flat MIP, no Bragg at either tip), so this reads as vertex activity, not a stopping end (alternative: the apex charge is the two arms double-counted where the fit passes through the kink); one arm reaches the bottom wall y=-199. Disagree with the STM tag, which fitted one 26 cm arm and dumped the other as a 21.7 cm 1.02-MIP leftover
280281	8	1000007	1.641	2.4	TGM	nu	junk	high	46 points in a 2 cm blob sitting on the upstream wall at (171,65,1); no track to judge (TGM-tagged so the STM fit was skipped)
280281	14	11	1.024	53.1	STM	STM	clean	high	enters the downstream wall z=498.4 at (-41,-132) travelling 28 cm in z over a 54 cm path (crossing, not grazing) and stops at (-45,-177,470) with a strong Bragg to 280-338 ke/cm on a clean muon-shaped rise (ks1=0.063)
280598	15	5	0.882	112.8	nu-candidate	nu	unclear	med	not one object: a closed loop in X-Y around (-125,157,478) plus a dense horizontal band at y=164-166 running out to the downstream wall z=501; dQ/dx has 2 high points at rr<1 then dives through zero to NEGATIVE at rr=4-7 (fit pathology), so no usable stopping evidence
280774	16	1	0.834	116.3	nu-candidate	nu	unclear	med	dQ/dx sits at 85-318 ke/cm over the first 55 cm (1.5-6x MIP, far above the muon curve) and rises again at rr=90-96, so the charge scale is not muon-like anywhere; topology is a >120 deg kink at (-118,17,37) with a 50 cm arm to (-91,19,83) and a 40 cm arm reaching the upstream wall z=0.8
280972	7	2	1.349	493.7	nu-candidate	nu	cosmic-like	high	494 cm cathode-crossing track with BOTH ends on boundaries - the downstream wall z=501 and a dense tangle at the bottom wall y=-199 near (25-70,z=90-190) - so it is through-going and nothing stopped; the rr<3 rise is inside that tangle (fit's own left dQ/dx=2.50 MIP). tgm=0, so TGM missed it
281095	20	3	0.794	454.8	STM	STM	clean	high	469 cm cathode-crossing track entering the upstream wall z=2.6 at (-70,-12) - travel is mostly along +z so it crosses that face head-on - and stopping at (45,11,440) with a tight Bragg to 168-215 ke/cm (ks1=0.024)
281148	13	9	1.680	46.2	STM	STM	clean	med	33 cm track entering the upstream wall z=0.8 at (-12,124) with a textbook Bragg to 186 ke/cm (ks1=0.014); caveat, the stopping end (-1.7,117,31) sits only 1.7 cm from the cathode x=0, so a cathode-broken continuation cannot be fully excluded, though the nearby grey points do not line up with this track
281241	10	4	0.980	182.3	STM	STM	clean	high	enters the upstream wall z=0.4 at (5.6,157), cathode-crosses and runs 184 cm to stop at (-41,192,172) with a clean Bragg to 220 ke/cm (ks1=0.038); nearly beam-aligned (+z) so likely an upstream/dirt muon, but geometrically an entering-and-stopping muon
281337	8	6	0.844	45.2	nu-candidate	nu	junk	high	15 drawn points in a 1 cm blob at (-179,-144,42), isolated in the full-detector view; skeleton claims 45 cm from 36 points and there is no steiner pc, so no dQ/dx
281485	15	1	1.668	134.9	nu-candidate	nu	junk	med	the main is 6-8 DISCONNECTED dense chunks spread over y=134-188, z=228-296 while hugging the anode x=-201 to -172 (clear empty gaps between them in Y-Z); not one physical object, and no STM fit exists (tagger stopped at a >120 deg mid-track kink)
281507	8	7	1.865	135.1	nu-candidate	nu	cosmic-like	med	enters the top wall y=199.8 at (-135,z=496) and runs 130 cm to (-82,130,420) where dQ/dx is only 40-65 ke/cm at rr<3 (no Bragg; the 100-186k points sit at rr=4 and rr=20-27) plus a 5-8 cm 1.5-MIP stub; the fit only passed on the com=15 variant
281527	14	1000006	0.555	240.3	nu-candidate	nu	cosmic-like	med	enters the top wall y=200.0 at (92,z=351) and descends 240 cm to (156,55,313); dQ/dx never reaches the muon expectation at either end (max ~110 ke/cm at rr<2 against 168 expected, flat 40-70 over the middle 150 cm), so nothing stopped
281551	1	5	1.142	17.6	STM	STM	unclear	low	HARD: 18 cm track crossing the top wall y=199.0 at (-166,z=186.5) with a proper Bragg-shaped rise along the green curve to 140-153 ke/cm (ks1=0.015), so I keep the STM call - but it runs at essentially constant z (dz=0.9 cm over 17.6 cm) which is the prolonged-W geometry, so length and charge are both suspect and an 18 cm (~50 MeV) entering muon is unusual
281557	23	1000014	1.731	32.4	nu-candidate	nu	junk	high	15 drawn points in a 1.5 cm blob at (125,-196,285) just inside the FV bottom face; skeleton claims 32 cm from 47 points over 3 fragments and the round-1 fit gave <=3 points, so there is no dQ/dx
281595	20	1000007	0.783	324.5	nu-candidate	nu	clean	high	a 2-3 cm stub at the interior end (-33,-66,197) spikes to 215-313 ke/cm (3-5.6x MIP, far ABOVE the muon maximum of 168) and collapses to 50-70 by rr=5-10 - proton-like, matching the fit's left dQ/dx=3.76 MIP over 2.8 cm - while the 330 cm MIP prong exits the downstream wall z=500 along +z (beam direction); same signature as the evt51051 reference
281632	8	7	1.133	54.5	STM	STM	unclear	low	HARD: 49 cm track entering the upstream wall z=1.3 in the top corner (-63.5,197,1.3) and ending interior at (-50,179,42); dQ/dx rises ~4x along the track toward rr=0 (25-45 ke/cm at rr=40-48 up to 125-145 at rr=5-10), which is muon-shaped, BUT the whole profile sits 1.7-2x above the green curve and the last 2 cm are erratic (277k then 50k), so the charge scale is not trustworthy
281639	22	1	0.777	116.9	nu-candidate	nu	unclear	low	no dQ/dx at all (tagger persisted no trajectory), so no stopping evidence exists; the 45 cm object touches the anode x=201.2 at (201,160,473) with its other end interior at (168,116,485), and the image shows two nearly parallel strands 3-4 cm apart over ~15 cm plus a vertical spike at z=481 = reconstruction pathology
281837	13	1000000	0.969	209.2	nu-candidate	nu	clean	med	three prongs from a junction at (145,-130,195): a 130 cm prong to the bottom wall y=-199 at z=290, an 80 cm prong to (152,-55,225) ending in a hook, and a 40 cm arm to (129,-140,195); dQ/dx spikes to 250-290 ke/cm (4-5x MIP) at rr<2 and stays 1.5-2x above the muon curve over 50 cm, so the dense end is proton-like rather than a muon Bragg
281857	19	3	0.624	111.5	STM	STM	clean	high	enters the upstream wall z=0.8 at (-96,-143), runs 113 cm and stops at (-129,-180,100) with a textbook Bragg to 228 ke/cm hugging the green curve (ks1=0.013)
281918	22	1000010	2.077	1.2	nu-candidate	nu	junk	high	8 drawn points in a sub-cm blob at (115,-190,425), isolated in the full-detector view; no steiner pc so no dQ/dx, nothing to judge
281953	10	1000001	1.880	82.2	STM	STM	clean	high	80 cm near-vertical track entering the top wall y=200 at (194,176) and stopping at y=120 well inside; textbook Bragg rising along the muon curve to 170-185 ke/cm at rr=0 (ks1=0.018)
282033	13	1000002	0.935	180.3	STM	STM	clean	high	180 cm vertical track entering the top wall y=199.9 at x=180 z=48 and stopping at (177,20,34); clean Bragg to 170 ke/cm at rr=0 (ks1=0.014), no second prong
282057	19	12	1.506	16.5	nu-candidate	nu	clean	med	small 16 cm two-prong at (-183,-84,490): 4 cm stub whose last points reach 200-240 ke/cm (well ABOVE the 165 muon curve = proton-like) plus a 12 cm MIP prong crossing the downstream wall z=500; not a muon Bragg
282072	7	1000000	1.182	310.8	nu-candidate	nu	cosmic-like	med	310 cm track crossing the downstream wall z=500 at (179,182) and descending to (88,25,255); dQ/dx flat 45-55 ke/cm right down to rr=0, no Bragg, so the far end is truncated not stopping; a ~35 cm second arm branches at that end (tagger's "extra tracks")
282204	4	1	0.793	159.4	nu-candidate	nu	unclear	low	159 cm V whose apex sits ON the anode plane at x=-198.5 (y 0, z 213) with two ~100/70 cm arms both ending contained mid-detector at x=-181; no STM fit ("not exactly one candidate exit point") so no Bragg evidence; apex-at-anode reads like an anode-plane/T0 fold, owner should look
282217	9	1000000	2.024	405.6	nu-candidate	STM	clean	med	405 cm track entering the anode x=201 at (78,391) and stopping at (5,51,40) near the cathode; dQ/dx follows the muon curve up over the last 30 cm to 170-285 ke/cm at rr=0; I disagree with the tagger's reject ("long leftover 30.5 cm at 2.35 MIP") -- that leftover IS the bent Bragg end; ctx confirms the fitted path itself reaches x=200 and no grey continues past the stopping end
282385	11	1000000	1.843	159.5	nu-candidate	nu	clean	med	straight 150 cm MIP prong exiting the anode x=201 plus a 9 cm stub at 2.7 MIP (dQ/dx jumps discontinuously from the flat 50 ke/cm to 150-215 ke/cm, above the muon curve) with a sharp kink at (147,-120,337); proton stub + exiting muon like evt51051, not a smooth muon Bragg
282459	10	1000009	1.111	106.8	nu-candidate	nu	cosmic-like	high	90-degree V at apex (152,185,89): one 90 cm arm exits the anode x=201, the 20 cm arm ends at y=193 where GREY charge continues to the top wall y=200 (ctx) => through-going, and dQ/dx is flat 50-60 ke/cm to rr=0 with no Bragg
282666	10	2	1.249	161.0	nu-candidate	nu	clean	med	three prongs from a vertex at (-110,-63,145): dQ/dx spikes to 265-295 ke/cm (5 MIP, far above the muon curve) in the last 2 cm = proton-like, plus a 70 cm prong to (-150,-20,178) and a 130 cm prong exiting the anode x=-201
282715	14	1000004	0.834	501.2	STM	nu	cosmic-like	high	500 cm straight track from (140,187,85) -- grey charge continues from there to the top wall -- to the downstream wall z=497.6 at (8,-68); dQ/dx dead flat 45-60 ke/cm to rr=0 with NO Bragg, so the tagger's STM accept is wrong (same failure mode as evt48895): through-going cosmic
282871	15	11	1.633	1.3	nu-candidate	nu	junk	high	a single 1.3 cm 14-point blob at (-194.5,152.5,385.5) and nothing else; no steiner PC so no fit, no track to judge (LM-flagged)
282952	7	9	0.206	5.6	TGM	nu	cosmic-like	med	5.6 cm 35-point clump wedged in the anode/downstream corner (x=-201.3, z=497-501, y=19-22), straddling two boundaries with no track body; no dQ/dx (STM skipped it as TGM) -- the TGM tag looks right to me, it is certainly not a stopping muon
282952	13	1000015	1.912	1.0	nu-candidate	nu	junk	high	13-point 1.0 cm isolated blob at (185.5,-177.5,333); no steiner PC, no fit, nothing to judge
283009	23	3	1.500	315.2	nu-candidate	nu	clean	med	vertex region at (-178,25,285): dense blob at 150-185 ke/cm (above the muon curve) 20 cm from the end plus a 12 cm horizontal stub at y=20, and a 250 cm MIP prong along +z exiting the downstream wall z=501; the last 20 cm of the low end sits at or below MIP, so it is a proton end not a muon Bragg (tagger says the same)
283229	6	1000001	1.854	212.1	nu-candidate	STM	clean	med	172 cm track entering the anode x=201 at (67,207) and stopping at (86,-20,118) well inside; dQ/dx climbs along the muon curve to 165-185 ke/cm at rr<2 and a short low-charge spray hangs off the stopping end (Michel candidate); I disagree with the tagger's dQ/dx-eval reject (ks1=0.067 is only marginal); ctx: the fitted path itself reaches the anode, nothing grey continues past the stop
283463	14	8	0.812	86.2	STM	nu	junk	med	two 5-10 cm clumps hugging the upstream wall z=1-14 at (-68,50) and (-63,42) joined by an L-shaped 40-point fit; dQ/dx is 30-55 ke/cm (BELOW the MIP line) at rr=0 with no Bragg, so the tagger's STM accept (ks1=0.188, r1=2.39) is fitting a fragment
