# doc pdvd/99 re-scan list for arm p98vonq (match match_p98vonq.json); one row per flagged record item; new_vs_identity = reason types not already flagged on the identity match
volume	old_key	new_key	verdict	michel_kind	status	f_fwd	f_rev	dx_cm	stop_move_cm	new_vs_identity	reasons
top	039349_64/65	039349_64/60	STM_MICHEL	attached	ok	0.8509	0.9818	-7.6		candidate,t0	candidate:none;t0:dx-7.6
top	039349_64/70	039349_64/65	THRU	none	ok	0.9783	0.9957	0.0		candidate	candidate:none
top	039349_66/81	039349_66/85	THRU	none	ok	0.9788	0.8206	0.0		candidate	candidate:none
top	039349_67/64	039349_67/64	THRU	none	ok	0.989	0.9859	0.0		candidate	candidate:none
top	039349_68/63	039349_68/63	STM_MICHEL	attached	ok	0.9903	0.9801	0.0		candidate	candidate:none
top	039349_68/65	039349_68/51	STM_ONLY	none	lost	0.5343	0.0087	-98.5		match,t0	match:lost;t0:dx-98.5
top	039349_68/71	039349_68/73	MESSY	none	lost	0.4929	0.9455	0.0		match	match:lost;class:MESSY
top	039349_7/65	039349_7/61	STM_ONLY	detached dots	ok	0.9968	0.9907	0.0		candidate,michel_tag	candidate:none;michel_tag:241006:lost
top	039349_70/44	039349_70/36	THRU	none	ok	0.9977	1.0	0.0		candidate	candidate:none
top	039349_71/37	039349_71/289	THRU	— not set —	lost	0.493	0.8926	-0.6		match	match:lost
top	039349_71/51	039349_71/53	THRU	none	ok	0.9668	0.8569	0.0		candidate	candidate:none
top	039349_71/59	-	THRU	none	lost	0.0	0.0	0.0		match	match:lost
top	039349_72/51	039349_72/49	THRU	none	ok	0.9931	0.9847	0.0		candidate	candidate:none
top	039349_72/54	039349_72/53	THRU	none	ok	0.9906	0.9695	0.0		candidate	candidate:none
top	039349_73/55	039349_73/73	THRU	none	ok	0.9325	0.993	0.0		candidate	candidate:none
top	039349_73/60	039349_73/55	STM_ONLY	detached dots	ok	1.0	1.0	0.0	0.02	michel_tag	michel_tag:132002:lost
top	039349_73/62	039349_73/57	STM_MICHEL	both	ok	0.9878	0.9868	0.0	0.51	michel_tag	michel_tag:137003:lost
top	039349_74/47	039349_74/63	THRU	none	ok	0.994	0.9874	0.0		candidate	candidate:none
top	039349_75/72	039349_75/61	MESSY	none	lost	0.4484	0.0358	194.9		match,t0	match:lost;t0:dx194.9;class:MESSY
top	039349_75/73	039349_75/71	THRU	none	ok	0.9845	0.8571	0.0		candidate	candidate:none
top	039349_77/52	039349_77/176	MESSY	none	merged	0.9091	0.4539	-31.8		match,t0	match:merged;t0:dx-31.8;class:MESSY
top	039349_8/52	039349_8/51	THRU	none	ok	0.9737	0.9848	0.0		candidate	candidate:none
top	039349_80/48	039349_80/53	THRU	none	merged	0.9767	0.0197	92.0		match,t0	match:merged;t0:dx92.0
top	039349_81/44	039349_81/44	STM_MICHEL	attached	ok	0.9592	0.963	-56.9	5.11	pin,stop,t0	stop:5.1cm;t0:dx-56.9;pin:pin=5.1
top	039349_81/45	039349_81/48	MESSY	none	lost	0.6231	0.9753	0.0		match	match:lost;class:MESSY
top	039349_81/51	039349_81/55	STM_ONLY	detached dots	ok	0.9939	0.8125	0.0	11.86	pin,stop	stop:11.9cm;pin:pin=10.4
top	039349_81/54	039349_81/57	MESSY	none	ok	0.9417	0.9363	-25.1		candidate,t0	candidate:none;t0:dx-25.1;class:MESSY
top	039349_82/41	039349_82/42	STM_ONLY	none	ok	0.977	0.995	0.0		candidate	candidate:none
top	039349_82/54	039349_82/54	STM_MICHEL	both	ok	0.9882	0.8601	0.0		candidate	candidate:none
top	039349_83/53	039349_83/81	THRU	none	collision	0.9648	0.3762	0.0	422.78	match,stop	match:collision;stop:422.8cm
top	039349_83/68	039349_83/76	THRU	— not set —	ok	0.9908	0.9675	0.0		candidate	candidate:none
top	039349_9/55	039349_9/59	STM_MICHEL	both	ok	0.976	0.888	0.0		candidate	candidate:none
