half	tag	runNo	subRunNo	eventNo	event	stratum	b1_cm
dev	vtxscan-prod0813-mcp1k	18255	1	292027	evt292027	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	292384	evt292384	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	292406	evt292406	vtxscan-prod0813-mcp1k/miss	45.5712
test	vtxscan-prod0813-mcp1k	18255	1	292533	evt292533	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	292577	evt292577	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	292643	evt292643	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	292687	evt292687	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	293149	evt293149	vtxscan-prod0813-mcp1k/miss	24.8062
dev	vtxscan-prod0813-mcp1k	18255	1	313781	evt313781	vtxscan-prod0813-mcp1k/miss	43.4296
dev	vtxscan-prod0813-mcp1k	18255	1	313979	evt313979	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	314507	evt314507	vtxscan-prod0813-mcp1k/miss	67.0888
dev	vtxscan-prod0813-mcp1k	18255	1	314705	evt314705	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	315013	evt315013	vtxscan-prod0813-mcp1k/miss	11.2400
test	vtxscan-prod0813-mcp1k	18255	1	315167	evt315167	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	315343	evt315343	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	315497	evt315497	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	315849	evt315849	vtxscan-prod0813-mcp1k/miss	70.1620
dev	vtxscan-prod0813-mcp1k	18255	1	315871	evt315871	vtxscan-prod0813-mcp1k/miss	95.3867
test	vtxscan-prod0813-mcp1k	18255	1	316003	evt316003	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	316025	evt316025	vtxscan-prod0813-mcp1k/miss	2.5290
test	vtxscan-prod0813-mcp1k	18255	1	316311	evt316311	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	316553	evt316553	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	316729	evt316729	vtxscan-prod0813-mcp1k/miss	5.9414
test	vtxscan-prod0813-mcp1k	18255	1	317191	evt317191	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	317741	evt317741	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	317939	evt317939	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	318731	evt318731	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	319039	evt319039	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	319611	evt319611	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	320029	evt320029	vtxscan-prod0813-mcp1k/miss	216.9913
test	vtxscan-prod0813-mcp1k	18255	1	320667	evt320667	vtxscan-prod0813-mcp1k/miss	133.8633
dev	vtxscan-prod0813-mcp1k	18255	1	320865	evt320865	vtxscan-prod0813-mcp1k/miss	39.5195
test	vtxscan-prod0813-mcp1k	18255	1	321107	evt321107	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	321173	evt321173	vtxscan-prod0813-mcp1k/miss	22.3986
test	vtxscan-prod0813-mcp1k	18255	1	321371	evt321371	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	321767	evt321767	vtxscan-prod0813-mcp1k/miss	77.5215
test	vtxscan-prod0813-mcp1k	18255	1	321789	evt321789	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	345633	evt345633	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	346623	evt346623	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	347085	evt347085	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	347129	evt347129	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	348471	evt348471	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	348515	evt348515	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	348691	evt348691	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	348713	evt348713	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	348845	evt348845	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	349087	evt349087	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	349241	evt349241	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	349461	evt349461	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	349549	evt349549	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	349835	evt349835	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	349879	evt349879	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	349945	evt349945	vtxscan-prod0813-mcp1k/miss	1.0999
test	vtxscan-prod0813-mcp1k	18255	1	350121	evt350121	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	350297	evt350297	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	350935	evt350935	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	351705	evt351705	vtxscan-prod0813-mcp1k/miss	113.5818
dev	vtxscan-prod0813-mcp1k	18255	1	351749	evt351749	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	352123	evt352123	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	352233	evt352233	vtxscan-prod0813-mcp1k/miss	103.6442
dev	vtxscan-prod0813-mcp1k	18255	1	353223	evt353223	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	353751	evt353751	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	386332	evt386332	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	386442	evt386442	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	386948	evt386948	vtxscan-prod0813-mcp1k/miss	41.1911
dev	vtxscan-prod0813-mcp1k	18255	1	387850	evt387850	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	388026	evt388026	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	388224	evt388224	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	389588	evt389588	vtxscan-prod0813-mcp1k/miss	4.1606
test	vtxscan-prod0813-mcp1k	18255	1	389874	evt389874	vtxscan-prod0813-mcp1k/miss	15.3460
dev	vtxscan-prod0813-mcp1k	18255	1	390182	evt390182	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	390842	evt390842	vtxscan-prod0813-mcp1k/miss	2.0309
test	vtxscan-prod0813-mcp1k	18255	1	390864	evt390864	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	391260	evt391260	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	391766	evt391766	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	392552	evt392552	vtxscan-prod0813-mcp1k/miss	237.1718
test	vtxscan-prod0813-mcp1k	18255	1	393042	evt393042	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	393212	evt393212	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	393608	evt393608	vtxscan-prod0813-mcp1k/miss	46.4921
dev	vtxscan-prod0813-mcp1k	18255	1	394532	evt394532	vtxscan-prod0813-mcp1k/miss	7.6855
dev	vtxscan-prod0813-mcp1k	18255	1	394642	evt394642	vtxscan-prod0813-mcp1k/miss	1.4872
test	vtxscan-prod0813-mcp1k	18255	1	394796	evt394796	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	395060	evt395060	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	395610	evt395610	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	395654	evt395654	vtxscan-prod0813-mcp1k/miss	194.0031
test	vtxscan-prod0813-mcp1k	18255	1	395962	evt395962	vtxscan-prod0813-mcp1k/miss	33.5562
dev	vtxscan-prod0813-mcp1k	18255	1	397722	evt397722	vtxscan-prod0813-mcp1k/miss	64.4025
test	vtxscan-prod0813-mcp1k	18255	1	397920	evt397920	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	398260	evt398260	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	398414	evt398414	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	399052	evt399052	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	399118	evt399118	vtxscan-prod0813-mcp1k/miss	10.3739
test	vtxscan-prod0813-mcp1k	18255	1	399328	evt399328	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	399702	evt399702	vtxscan-prod0813-mcp1k/miss	206.1073
test	vtxscan-prod0813-mcp1k	18255	1	399856	evt399856	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	399998	evt399998	vtxscan-prod0813-mcp1k/miss	14.6632
test	vtxscan-prod0813-mcp1k	18255	1	400054	evt400054	vtxscan-prod0813-mcp1k/miss	5.2716
test	vtxscan-prod0813-mcp1k	18255	1	400460	evt400460	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	400504	evt400504	vtxscan-prod0813-mcp1k/miss	53.1579
test	vtxscan-prod0813-mcp1k	18255	1	400592	evt400592	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	400636	evt400636	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	400856	evt400856	vtxscan-prod0813-mcp1k/miss	6.1222
dev	vtxscan-prod0813-mcp1k	18255	1	401054	evt401054	vtxscan-prod0813-mcp1k/miss	4.1259
test	vtxscan-prod0813-mcp1k	18255	1	401516	evt401516	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	401626	evt401626	vtxscan-prod0813-mcp1k/miss	26.6832
test	vtxscan-prod0813-mcp1k	18255	1	401780	evt401780	vtxscan-prod0813-mcp1k/miss	63.4485
dev	vtxscan-prod0813-mcp1k	18255	1	402330	evt402330	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	402880	evt402880	vtxscan-prod0813-mcp1k/miss	5.1767
test	vtxscan-prod0813-mcp1k	18255	1	404244	evt404244	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	404684	evt404684	vtxscan-prod0813-mcp1k/miss	40.4293
test	vtxscan-prod0813-mcp1k	18255	1	405234	evt405234	vtxscan-prod0813-mcp1k/ok	0.8164
dev	vtxscan-prod0813-mcp1k	18255	1	405432	evt405432	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	405674	evt405674	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	405740	evt405740	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	406752	evt406752	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	406796	evt406796	vtxscan-prod0813-mcp1k/miss	92.8634
test	vtxscan-prod0813-mcp1k	18255	1	407148	evt407148	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	407280	evt407280	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	407918	evt407918	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	408534	evt408534	vtxscan-prod0813-mcp1k/miss	24.9542
test	vtxscan-prod0813-mcp1k	18255	1	409546	evt409546	vtxscan-prod0813-mcp1k/miss	2.5331
test	vtxscan-prod0813-mcp1k	18255	1	409634	evt409634	vtxscan-prod0813-mcp1k/miss	69.1698
test	vtxscan-prod0813-mcp1k	18255	1	409920	evt409920	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	409942	evt409942	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	409964	evt409964	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	410008	evt410008	vtxscan-prod0813-mcp1k/miss	171.6086
test	vtxscan-prod0813-mcp1k	18255	1	411460	evt411460	vtxscan-prod0813-mcp1k/miss	9.9793
test	vtxscan-prod0813-mcp1k	18255	1	412208	evt412208	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	486247	evt486247	vtxscan-prod0813-mcp1k/miss	59.3106
dev	vtxscan-prod0813-mcp1k	18255	1	486687	evt486687	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	487303	evt487303	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	487853	evt487853	vtxscan-prod0813-mcp1k/miss	5.1919
dev	vtxscan-prod0813-mcp1k	18255	1	488139	evt488139	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	488755	evt488755	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	489327	evt489327	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	489503	evt489503	vtxscan-prod0813-mcp1k/miss	126.7797
test	vtxscan-prod0813-mcp1k	18255	1	490361	evt490361	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	490581	evt490581	vtxscan-prod0813-mcp1k/miss	182.1627
test	vtxscan-prod0813-mcp1k	18255	1	490779	evt490779	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	490977	evt490977	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	491483	evt491483	vtxscan-prod0813-mcp1k/miss	4.5170
test	vtxscan-prod0813-mcp1k	18255	1	492649	evt492649	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	492803	evt492803	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	492913	evt492913	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	493243	evt493243	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18259	1	66118	evt66118	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18259	1	66272	evt66272	vtxscan-prod0813-mcp1k/miss	2.9171
dev	vtxscan-prod0813-mcp1k	18259	1	66646	evt66646	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18259	1	66712	evt66712	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18259	1	67394	evt67394	vtxscan-prod0813-mcp1k/ok	0.3871
dev	vtxscan-prod0813-mcp1k	18259	1	67746	evt67746	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18259	1	68648	evt68648	vtxscan-prod0813-mcp1k/miss	30.5015
test	vtxscan-prod0813-mcp1k	18259	1	68714	evt68714	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18259	1	68978	evt68978	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18259	1	71046	evt71046	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18259	1	71178	evt71178	vtxscan-prod0813-mcp1k/miss	19.2288
test	vtxscan-prod0813-mcp1k	18259	1	71222	evt71222	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18259	1	71266	evt71266	vtxscan-prod0813-mcp1k/miss	93.8840
dev	vtxscan-prod0813-mcp1k	18259	1	71640	evt71640	vtxscan-prod0813-mcp1k/miss	227.9183
test	vtxscan-prod0813-mcp1k	18259	1	72256	evt72256	vtxscan-prod0813-mcp1k/miss	10.2103
test	vtxscan-prod0813-mcp1k	18259	1	72586	evt72586	vtxscan-prod0813-mcp1k/miss	2.1462
test	vtxscan-prod0813-mcp1k	18259	1	73004	evt73004	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18259	1	166738	evt166738	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18259	1	166804	evt166804	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18259	1	166870	evt166870	vtxscan-prod0813-mcp1k/miss	4.1481
test	vtxscan-prod0813-mcp1k	18259	1	167112	evt167112	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18259	1	167684	evt167684	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18259	1	168432	evt168432	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18259	1	168526	evt168526	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18259	1	168614	evt168614	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18259	1	168658	evt168658	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18259	1	169356	evt169356	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18259	1	169488	evt169488	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18259	1	169598	evt169598	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18259	1	169620	evt169620	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18259	1	169626	evt169626	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18259	1	169758	evt169758	vtxscan-prod0813-mcp1k/miss	67.5479
test	vtxscan-prod0813-mcp1k	18259	1	169774	evt169774	vtxscan-prod0813-mcp1k/miss	11.8184
test	vtxscan-prod0813-mcp1k	18259	1	169824	evt169824	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18259	1	169846	evt169846	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18259	1	169890	evt169890	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18259	1	170792	evt170792	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18259	1	170808	evt170808	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18259	1	170814	evt170814	vtxscan-prod0813-mcp1k/miss	45.4025
test	vtxscan-prod0813-mcp1k	18259	1	170880	evt170880	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18259	1	170924	evt170924	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18259	1	171358	evt171358	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18259	1	171600	evt171600	vtxscan-prod0813-mcp1k/miss	340.2706
test	vtxscan-prod0813-mcp1k	18259	1	171892	evt171892	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18259	1	172090	evt172090	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18259	1	172266	evt172266	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18259	1	172656	evt172656	vtxscan-prod0813-mcp1k/miss	224.9809
test	vtxscan-prod0813-mcp1k	18259	1	172788	evt172788	vtxscan-prod0813-mcp1k/miss	99.0236
test	vtxscan-prod0813-mcp1k	18259	1	172794	evt172794	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18259	1	172832	evt172832	vtxscan-prod0813-mcp1k/miss	104.3637
test	vtxscan-prod0813-mcp1k	18259	1	172942	evt172942	vtxscan-prod0813-mcp1k/miss	29.6104
test	vtxscan-prod0813-mcp1k	18259	1	173058	evt173058	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18259	1	173146	evt173146	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18259	1	173234	evt173234	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18259	1	173498	evt173498	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18259	1	174114	evt174114	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18259	1	174224	evt174224	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18259	1	174576	evt174576	vtxscan-prod0813-mcp1k/miss	94.6338
test	vtxscan-prod0813-mcp1k	18259	1	174752	evt174752	vtxscan-prod0813-mcp1k/miss	8.4866
test	vtxscan-prod0813-mcp1k	18259	1	174928	evt174928	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18259	1	175016	evt175016	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18259	1	175808	evt175808	vtxscan-prod0813-mcp1k/miss	9.3919
test	vtxscan-prod0813-mcp1k	18259	1	175896	evt175896	vtxscan-prod0813-mcp1k/miss	43.6774
test	vtxscan-prod0813-ncpi0	18255	1	56982	evt56982	vtxscan-prod0813-ncpi0/miss	33.3193
dev	vtxscan-prod0813-ncpi0	18255	1	71372	evt71372	vtxscan-prod0813-ncpi0/ok	0.0000
dev	vtxscan-prod0813-ncpi0	18255	1	114446	evt114446	vtxscan-prod0813-ncpi0/ok	0.0000
dev	vtxscan-prod0813-ncpi0	18255	1	142421	evt142421	vtxscan-prod0813-ncpi0/ok	0.0000
test	vtxscan-prod0813-ncpi0	18255	1	180801	evt180801	vtxscan-prod0813-ncpi0/miss	94.8217
test	vtxscan-prod0813-ncpi0	18255	1	314838	evt314838	vtxscan-prod0813-ncpi0/ok	0.0000
test	vtxscan-prod0813-ncpi0	18255	1	359980	evt359980	vtxscan-prod0813-ncpi0/miss	56.4508
test	vtxscan-prod0813-ncpi0	18255	1	399860	evt399860	vtxscan-prod0813-ncpi0/ok	0.0000
dev	vtxscan-prod0813-ncpi0	18255	1	463565	evt463565	vtxscan-prod0813-ncpi0/miss	30.1646
test	vtxscan-prod0813-ncpi0	18255	1	506114	evt506114	vtxscan-prod0813-ncpi0/ok	0.0000
test	vtxscan-prod0813-ncpi0	18255	1	506746	evt506746	vtxscan-prod0813-ncpi0/ok	0.0000
test	vtxscan-prod0813-ncpi0	18255	1	521075	evt521075	vtxscan-prod0813-ncpi0/ok	0.0000
dev	vtxscan-prod0813-ncpi0	18259	1	18625	evt18625	vtxscan-prod0813-ncpi0/ok	0.0000
dev	vtxscan-prod0813-ncpi0	18259	1	37112	evt37112	vtxscan-prod0813-ncpi0/ok	0.0000
test	vtxscan-prod0813-ncpi0	18259	1	105946	evt105946	vtxscan-prod0813-ncpi0/ok	0.0000
test	vtxscan-prod0813-ncpi0	18261	1	285567	evt285567	vtxscan-prod0813-ncpi0/ok	0.0000
test	vtxscan-prod0813-ncpi0	18345	1	21073	evt21073	vtxscan-prod0813-ncpi0/ok	0.0000
test	vtxscan-prod0813-ncpi0	18345	1	259542	evt259542	vtxscan-prod0813-ncpi0/miss	136.6736
test	vtxscan-prod0813-ncpi0	18364	1	84229	evt84229	vtxscan-prod0813-ncpi0/ok	0.0000
